i,j1,j2,y1,y2,t11,t12,t21,t22,g1,g2,w1,w2,m
665,616,616,0.9531719435056294,0.9531719435056294,1,2,1,2,4,4,2,2,0
666,934,732,0.532909477626156,0.818094505157836,1,1,2,2,1,9,1,1,1
667,972,692,-0.250889151936585,0.239791659236125,1,1,2,2,9,9,1,1,1
668,676,594,0.870203334800951,-0.762208174911627,1,1,2,2,9,5,1,1,1
669,386,386,0.705189708082478,0.705189708082478,1,2,1,2,8,8,2,2,0
670,340,757,-1.31629423587048,-0.371494972872832,1,1,2,2,7,9,1,1,1
671,396,396,-0.6446564951998445,-0.6446564951998445,1,2,1,2,8,8,2,2,0
672,611,611,0.8738228635347145,0.8738228635347145,1,2,1,2,9,9,2,2,0
673,609,609,-1.439479779318865,-1.439479779318865,1,2,1,2,3,3,2,2,0
674,327,494,0.160982181070382,0.66909891569641,1,1,2,2,8,4,1,1,1
675,343,343,-1.6179195674373799,-1.6179195674373799,1,2,1,2,9,9,2,2,0
676,74,295,-0.3506261440429,-1.45049739666498,1,1,2,2,6,7,1,1,1
677,318,318,-1.071901617200309,-1.071901617200309,1,2,1,2,2,2,2,2,0
678,660,660,-0.96383102247944,-0.96383102247944,1,2,1,2,7,7,2,2,0
679,51,887,-0.612537825813176,-0.220710428276974,1,1,2,2,3,1,1,1,1
680,103,103,-0.02463356208830889,-0.02463356208830889,1,2,1,2,7,7,2,2,0
681,473,473,0.4983413086650735,0.4983413086650735,1,2,1,2,5,5,2,2,0
682,255,255,-1.15605039352808,-1.15605039352808,1,2,1,2,0,0,2,2,0
683,889,889,-1.34632748411243,-1.34632748411243,1,2,1,2,3,3,2,2,0
684,931,931,-0.4578659961490815,-0.4578659961490815,1,2,1,2,4,4,2,2,0
685,247,247,-0.318332451981966,-0.318332451981966,1,2,1,2,1,1,2,2,0
686,597,597,-1.103517882038542,-1.103517882038542,1,2,1,2,0,0,2,2,0
687,383,383,0.602759036517363,0.602759036517363,1,2,1,2,9,9,2,2,0
688,283,844,-0.304413903833617,0.640139027676511,1,1,2,2,5,1,1,1,1
689,828,828,-2.12878437244788,-2.12878437244788,1,2,1,2,9,9,2,2,0
690,522,522,-0.11278085974839305,-0.11278085974839305,1,2,1,2,2,2,2,2,0
691,364,917,0.846715950146801,1.85484518829552,1,1,2,2,9,6,1,1,1
692,122,122,1.655923547077845,1.655923547077845,1,2,1,2,9,9,2,2,0
693,38,38,0.1232892729044476,0.1232892729044476,1,2,1,2,4,4,2,2,0
694,602,602,-0.916320576188403,-0.916320576188403,1,2,1,2,1,1,2,2,0
695,515,515,2.671969040607525,2.671969040607525,1,2,1,2,1,1,2,2,0
696,696,696,-0.894123332662364,-0.894123332662364,1,2,1,2,5,5,2,2,0
697,918,918,0.821068201078785,0.821068201078785,1,2,1,2,6,6,2,2,0
698,867,867,0.07083323018083151,0.07083323018083151,1,2,1,2,3,3,2,2,0
699,358,358,-1.8482718128203701,-1.8482718128203701,1,2,1,2,7,7,2,2,0
700,877,877,-0.23539632530992652,-0.23539632530992652,1,2,1,2,4,4,2,2,0
701,183,310,-1.57632091094616,-1.57714466940533,1,1,2,2,2,9,1,1,1
702,595,349,-0.159571785790535,0.00657029642632309,1,1,2,2,1,6,1,1,1
703,730,187,0.531148866404179,-0.00635124272677084,1,1,2,2,1,8,1,1,1
704,199,199,-1.200967925343815,-1.200967925343815,1,2,1,2,4,4,2,2,0
705,789,436,0.240053785065215,1.30728117554813,1,1,2,2,5,1,1,1,1
706,250,250,0.8599028382081916,0.8599028382081916,1,2,1,2,4,4,2,2,0
707,870,870,-0.7790594803858475,-0.7790594803858475,1,2,1,2,9,9,2,2,0
708,469,116,-0.0336992703953309,0.761948991334558,1,1,2,2,8,4,1,1,1
709,991,991,0.34076494847071803,0.34076494847071803,1,2,1,2,7,7,2,2,0
710,778,778,0.936800053312823,0.936800053312823,1,2,1,2,8,8,2,2,0
711,753,753,0.410173267400361,0.410173267400361,1,2,1,2,1,1,2,2,0
712,155,155,-0.1868074217640448,-0.1868074217640448,1,2,1,2,9,9,2,2,0
713,607,876,-0.34673308405216,0.39719434278748,1,1,2,2,8,1,1,1,1
714,850,850,2.23300971602904,2.23300971602904,1,2,1,2,1,1,2,2,0
715,35,35,1.145899506640765,1.145899506640765,1,2,1,2,9,9,2,2,0
716,312,312,1.340734530792425,1.340734530792425,1,2,1,2,1,1,2,2,0
717,74,74,0.175801671434838,0.175801671434838,1,2,1,2,6,6,2,2,0
718,512,512,-0.27266383561382046,-0.27266383561382046,1,2,1,2,7,7,2,2,0
719,165,165,0.2115437992110677,0.2115437992110677,1,2,1,2,1,1,2,2,0
720,619,619,-1.1535957519155056,-1.1535957519155056,1,2,1,2,2,2,2,2,0
721,45,45,-1.2114520145833985,-1.2114520145833985,1,2,1,2,2,2,2,2,0
722,55,900,0.906483256964586,-0.382873510508665,1,1,2,2,8,0,1,1,1
723,83,83,-1.2787660305901198,-1.2787660305901198,1,2,1,2,2,2,2,2,0
724,510,510,-1.0265896536488095,-1.0265896536488095,1,2,1,2,5,5,2,2,0
725,557,806,-0.378405534391148,0.322755735382258,1,1,2,2,7,9,1,1,1
726,190,149,0.51191819932741,0.745779951316119,1,1,2,2,9,9,1,1,1
727,469,218,-0.560657913136937,0.643224904256465,1,1,2,2,8,2,1,1,1
728,731,731,-0.6617530259015995,-0.6617530259015995,1,2,1,2,2,2,2,2,0
729,164,164,0.9117694920281849,0.9117694920281849,1,2,1,2,9,9,2,2,0
730,783,783,1.882457279540915,1.882457279540915,1,2,1,2,1,1,2,2,0
731,500,500,1.83994295981701,1.83994295981701,1,2,1,2,6,6,2,2,0
732,68,68,-2.135499436200155,-2.135499436200155,1,2,1,2,8,8,2,2,0
733,838,838,1.745071522843565,1.745071522843565,1,2,1,2,9,9,2,2,0
734,170,170,-1.146200781091895,-1.146200781091895,1,2,1,2,0,0,2,2,0
735,991,991,0.27491039768536296,0.27491039768536296,1,2,1,2,7,7,2,2,0
736,316,36,-0.529666342887968,0.559497783754296,1,1,2,2,0,8,1,1,1
737,287,287,-0.5649010431093965,-0.5649010431093965,1,2,1,2,3,3,2,2,0
738,396,396,-0.20699817306683901,-0.20699817306683901,1,2,1,2,8,8,2,2,0
739,166,166,0.5229370062584295,0.5229370062584295,1,2,1,2,2,2,2,2,0
740,432,432,1.0561956162016395,1.0561956162016395,1,2,1,2,2,2,2,2,0
741,483,575,1.72463128168084,1.63246229767073,1,1,2,2,4,4,1,1,1
742,26,26,1.954213442818815,1.954213442818815,1,2,1,2,5,5,2,2,0
743,99,713,0.00433722279226723,0.535060444805494,1,1,2,2,3,2,1,1,1
744,154,154,0.004581683634805496,0.004581683634805496,1,2,1,2,8,8,2,2,0
745,667,667,-2.210192993242145,-2.210192993242145,1,2,1,2,2,2,2,2,0
746,515,381,2.80751385933411,2.00489532820083,1,1,2,2,1,8,1,1,1
747,214,214,-1.250083045862965,-1.250083045862965,1,2,1,2,7,7,2,2,0
748,582,582,1.45019884780012,1.45019884780012,1,2,1,2,2,2,2,2,0
749,854,854,0.20290189471356496,0.20290189471356496,1,2,1,2,2,2,2,2,0
750,138,138,2.6672090924414,2.6672090924414,1,2,1,2,6,6,2,2,0
751,300,840,-0.298740624843586,0.813773135362397,1,1,2,2,2,4,1,1,1
752,379,379,0.7111209846040745,0.7111209846040745,1,2,1,2,9,9,2,2,0
753,81,149,0.323324307114987,0.275133407482045,1,1,2,2,9,9,1,1,1
754,334,334,0.891593312471288,0.891593312471288,1,2,1,2,4,4,2,2,0
755,754,811,0.219020844785637,-0.0607787535298999,1,1,2,2,9,8,1,1,1
756,609,658,0.42324874516274,1.14994616097581,1,1,2,2,3,9,1,1,1
757,798,798,-0.8002663297322206,-0.8002663297322206,1,2,1,2,5,5,2,2,0
758,493,493,-1.408211467279425,-1.408211467279425,1,2,1,2,4,4,2,2,0
759,556,510,-0.919685708119818,-1.22165063368495,1,1,2,2,0,5,1,1,1
760,89,590,1.08480870671816,0.0668549445996796,1,1,2,2,2,0,1,1,1
761,708,708,0.1967198163956079,0.1967198163956079,1,2,1,2,7,7,2,2,0
762,185,185,0.651286772224883,0.651286772224883,1,2,1,2,1,1,2,2,0
763,606,606,-0.8245098315970805,-0.8245098315970805,1,2,1,2,1,1,2,2,0
764,451,451,-0.005618046762286999,-0.005618046762286999,1,2,1,2,3,3,2,2,0
765,338,338,0.1678725875055495,0.1678725875055495,1,2,1,2,0,0,2,2,0
766,85,85,0.3206149370970565,0.3206149370970565,1,2,1,2,8,8,2,2,0
767,126,126,-1.081810419185893,-1.081810419185893,1,2,1,2,0,0,2,2,0
768,201,16,-1.14399445795679,-0.0633494978308206,1,1,2,2,7,7,1,1,1
769,264,264,1.08931837479297,1.08931837479297,1,2,1,2,8,8,2,2,0
770,701,701,-2.065130816780815,-2.065130816780815,1,2,1,2,3,3,2,2,0
771,208,208,-0.6791484057775115,-0.6791484057775115,1,2,1,2,2,2,2,2,0
772,515,515,0.7742872242454399,0.7742872242454399,1,2,1,2,1,1,2,2,0
773,527,269,-2.68732501903497,-1.65232121314728,1,1,2,2,0,2,1,1,1
774,713,399,0.0640211318317264,0.395338534993319,1,1,2,2,2,7,1,1,1
775,605,146,1.97220554269755,2.01621764179944,1,1,2,2,1,2,1,1,1
776,131,892,-0.729864449940741,-0.0892878773873722,1,1,2,2,8,2,1,1,1
777,712,712,0.4402618486509,0.4402618486509,1,2,1,2,6,6,2,2,0
778,186,473,0.667889748834284,-0.165010187447434,1,1,2,2,1,5,1,1,1
779,515,93,0.266884438344042,-0.073284506823929,1,1,2,2,1,9,1,1,1
780,189,968,1.12105574625055,0.545597942570934,1,1,2,2,4,8,1,1,1
781,72,72,1.3013946029599701,1.3013946029599701,1,2,1,2,7,7,2,2,0
782,118,118,-0.7508236856113265,-0.7508236856113265,1,2,1,2,8,8,2,2,0
783,837,411,-1.40978081834622,-1.26171407463438,1,1,2,2,2,4,1,1,1
784,646,399,-1.04240725117898,-1.66524307924155,1,1,2,2,2,7,1,1,1
785,996,996,0.0421786596411912,0.0421786596411912,1,2,1,2,4,4,2,2,0
786,238,238,0.862774525486633,0.862774525486633,1,2,1,2,8,8,2,2,0
787,933,933,-1.42767337053887,-1.42767337053887,1,2,1,2,4,4,2,2,0
788,346,346,-1.646222490793145,-1.646222490793145,1,2,1,2,2,2,2,2,0
789,295,295,-0.854059798105635,-0.854059798105635,1,2,1,2,7,7,2,2,0
790,800,800,-0.1755391940098835,-0.1755391940098835,1,2,1,2,8,8,2,2,0
791,384,539,-1.5909504008262,-0.406674586027255,1,1,2,2,8,9,1,1,1
792,8,8,0.7381885899109195,0.7381885899109195,1,2,1,2,2,2,2,2,0
793,392,392,1.0097637459434203,1.0097637459434203,1,2,1,2,4,4,2,2,0
794,748,748,-0.5888875368174245,-0.5888875368174245,1,2,1,2,7,7,2,2,0
795,825,257,0.609757768623422,2.03534988352473,1,1,2,2,9,6,1,1,1
796,96,96,0.4274412683345323,0.4274412683345323,1,2,1,2,9,9,2,2,0
797,28,28,-0.17086749924958053,-0.17086749924958053,1,2,1,2,1,1,2,2,0
798,116,116,0.6830285078226874,0.6830285078226874,1,2,1,2,4,4,2,2,0
799,777,777,-0.3364125063317715,-0.3364125063317715,1,2,1,2,5,5,2,2,0
800,538,538,0.29863022384035537,0.29863022384035537,1,2,1,2,5,5,2,2,0
801,188,402,-0.722260966064488,-0.0362936606830684,1,1,2,2,8,1,1,1,1
802,854,854,0.9738363025512415,0.9738363025512415,1,2,1,2,2,2,2,2,0
803,269,269,1.04404160242027,1.04404160242027,1,2,1,2,2,2,2,2,0
804,900,959,-1.09713922303359,-0.12313898105057,1,1,2,2,0,3,1,1,1
805,567,567,0.1281901298613075,0.1281901298613075,1,2,1,2,9,9,2,2,0
806,409,409,-0.733846123091449,-0.733846123091449,1,2,1,2,7,7,2,2,0
807,568,568,1.8123232304563048,1.8123232304563048,1,2,1,2,8,8,2,2,0
808,282,282,0.507223805064669,0.507223805064669,1,2,1,2,4,4,2,2,0
809,61,61,-0.1626850051050621,-0.1626850051050621,1,2,1,2,7,7,2,2,0
810,848,848,-2.431002963342915,-2.431002963342915,1,2,1,2,7,7,2,2,0
811,492,492,-0.7765450151941344,-0.7765450151941344,1,2,1,2,9,9,2,2,0
812,577,577,-0.2409662187898865,-0.2409662187898865,1,2,1,2,2,2,2,2,0
813,320,320,1.44942070636172,1.44942070636172,1,2,1,2,4,4,2,2,0
814,86,86,0.5629762392381921,0.5629762392381921,1,2,1,2,2,2,2,2,0
815,980,980,2.382370628670335,2.382370628670335,1,2,1,2,6,6,2,2,0
816,833,833,0.959948629822969,0.959948629822969,1,2,1,2,4,4,2,2,0
817,356,356,1.11976639934507,1.11976639934507,1,2,1,2,8,8,2,2,0
818,401,401,-1.497704575024255,-1.497704575024255,1,2,1,2,7,7,2,2,0
819,422,422,-2.029529568235415,-2.029529568235415,1,2,1,2,3,3,2,2,0
820,619,81,-1.53523465234588,-0.379949260260812,1,1,2,2,2,9,1,1,1
821,4,4,0.496260389220419,0.496260389220419,1,2,1,2,2,2,2,2,0
822,470,470,0.01762119846154095,0.01762119846154095,1,2,1,2,2,2,2,2,0
823,497,793,0.225116245397099,0.739782458635064,1,1,2,2,5,2,1,1,1
824,386,386,-0.703002765783688,-0.703002765783688,1,2,1,2,8,8,2,2,0
825,520,520,-1.43356214066231,-1.43356214066231,1,2,1,2,7,7,2,2,0
826,157,157,0.044609230123613494,0.044609230123613494,1,2,1,2,1,1,2,2,0
827,907,907,-1.020045535546956,-1.020045535546956,1,2,1,2,9,9,2,2,0
828,305,305,-0.5926113751635145,-0.5926113751635145,1,2,1,2,8,8,2,2,0
829,677,677,-1.030353531543453,-1.030353531543453,1,2,1,2,2,2,2,2,0
830,398,398,1.0601168923278999,1.0601168923278999,1,2,1,2,1,1,2,2,0
831,7,7,0.2637838248805998,0.2637838248805998,1,2,1,2,4,4,2,2,0
832,608,608,0.1431254643836487,0.1431254643836487,1,2,1,2,8,8,2,2,0
833,268,268,3.0145177865639,3.0145177865639,1,2,1,2,6,6,2,2,0
834,859,859,0.26638293445184874,0.26638293445184874,1,2,1,2,9,9,2,2,0
835,828,788,0.868928648998716,-0.0444126221700608,1,1,2,2,9,2,1,1,1
836,283,283,-1.9427611580958601,-1.9427611580958601,1,2,1,2,5,5,2,2,0
837,709,709,-1.1772906379879244,-1.1772906379879244,1,2,1,2,8,8,2,2,0
838,196,390,-0.0328347725426855,0.188283948557334,1,1,2,2,8,1,1,1,1
839,157,157,0.6329214082642645,0.6329214082642645,1,2,1,2,1,1,2,2,0
840,719,6,-1.71860026361974,-0.851073893593284,1,1,2,2,7,8,1,1,1
841,730,730,2.950835838162325,2.950835838162325,1,2,1,2,1,1,2,2,0
842,129,968,-0.567936684716162,-0.605572959995198,1,1,2,2,9,8,1,1,1
843,217,217,-0.414301197369076,-0.414301197369076,1,2,1,2,7,7,2,2,0
844,794,794,1.2476099187656726,1.2476099187656726,1,2,1,2,4,4,2,2,0
845,631,631,0.13875020280152,0.13875020280152,1,2,1,2,7,7,2,2,0
846,533,533,-0.7371780425468579,-0.7371780425468579,1,2,1,2,8,8,2,2,0
847,486,496,-0.366477855865939,1.77893121711599,1,1,2,2,5,1,1,1,1
848,250,196,1.8979597570937,1.93234056441172,1,1,2,2,4,8,1,1,1
849,105,816,0.13269373803168,-0.0234524240131401,1,1,2,2,9,9,1,1,1
850,731,731,0.906241182172026,0.906241182172026,1,2,1,2,2,2,2,2,0
851,748,748,-0.159297104152786,-0.159297104152786,1,2,1,2,7,7,2,2,0
852,845,845,1.312208216160155,1.312208216160155,1,2,1,2,9,9,2,2,0
853,433,433,-2.0625798964671,-2.0625798964671,1,2,1,2,7,7,2,2,0
854,208,208,2.030361461034165,2.030361461034165,1,2,1,2,2,2,2,2,0
855,591,435,-1.59463389660338,-0.183870408591526,1,1,2,2,0,1,1,1,1
856,249,249,-1.435716553599475,-1.435716553599475,1,2,1,2,7,7,2,2,0
857,122,122,0.1738161667977845,0.1738161667977845,1,2,1,2,9,9,2,2,0
858,834,834,0.1091842213231218,0.1091842213231218,1,2,1,2,1,1,2,2,0
859,589,427,2.48417225571253,1.01288992943995,1,1,2,2,4,8,1,1,1
860,336,336,1.71797868456518,1.71797868456518,1,2,1,2,4,4,2,2,0
861,776,776,-0.2927345800482545,-0.2927345800482545,1,2,1,2,7,7,2,2,0
862,58,303,-1.57368267440488,-2.40335756468656,1,1,2,2,7,5,1,1,1
863,409,409,-1.787119681429665,-1.787119681429665,1,2,1,2,7,7,2,2,0
864,258,894,0.0335087941578494,0.23121024878811,1,1,2,2,7,8,1,1,1
865,960,960,2.702326085321835,2.702326085321835,1,2,1,2,2,2,2,2,0
866,359,968,-1.65572421567954,-2.37044661956013,1,1,2,2,4,8,1,1,1
867,780,83,1.63542970148659,1.230181359163,1,1,2,2,2,2,1,1,1
868,473,473,-1.0612307736930604,-1.0612307736930604,1,2,1,2,5,5,2,2,0
869,851,599,2.1241790893862,0.521716441276048,1,1,2,2,9,5,1,1,1
870,109,109,-0.9959916235287855,-0.9959916235287855,1,2,1,2,8,8,2,2,0
871,900,900,-0.7529863274255746,-0.7529863274255746,1,2,1,2,0,0,2,2,0
872,871,871,-1.46224823201085,-1.46224823201085,1,2,1,2,5,5,2,2,0
873,563,321,0.708588470277003,0.835894958571303,1,1,2,2,4,3,1,1,1
874,399,399,0.7576522678195535,0.7576522678195535,1,2,1,2,7,7,2,2,0
875,775,775,2.25752050185545,2.25752050185545,1,2,1,2,2,2,2,2,0
876,396,396,0.1989065039633455,0.1989065039633455,1,2,1,2,8,8,2,2,0
877,421,421,2.358284247737675,2.358284247737675,1,2,1,2,4,4,2,2,0
878,690,690,-0.2020631347125795,-0.2020631347125795,1,2,1,2,0,0,2,2,0
879,11,121,0.224332852814975,-0.630219009082091,1,1,2,2,6,3,1,1,1
880,81,723,0.416743207914597,0.761346417684042,1,1,2,2,9,4,1,1,1
881,959,959,-1.119647642687532,-1.119647642687532,1,2,1,2,3,3,2,2,0
882,838,746,0.112244279885121,0.0427751248015608,1,1,2,2,9,9,1,1,1
883,81,81,1.485436949066075,1.485436949066075,1,2,1,2,9,9,2,2,0
884,377,377,0.367355347531022,0.367355347531022,1,2,1,2,9,9,2,2,0
885,821,406,0.974518821414633,-1.60457014206613,1,1,2,2,9,0,1,1,1
886,660,167,-1.16882299096352,-1.35675859467843,1,1,2,2,7,8,1,1,1
887,646,646,-0.5316172343788436,-0.5316172343788436,1,2,1,2,2,2,2,2,0
888,604,604,-0.8693594248712939,-0.8693594248712939,1,2,1,2,3,3,2,2,0
889,612,75,-0.0104482633257257,0.905649317054483,1,1,2,2,2,1,1,1,1
890,996,869,-0.243233294939919,-1.18599145182051,1,1,2,2,4,3,1,1,1
891,829,829,0.1655221376084585,0.1655221376084585,1,2,1,2,7,7,2,2,0
892,894,894,-1.430984719939685,-1.430984719939685,1,2,1,2,8,8,2,2,0
893,755,755,2.40121694303353,2.40121694303353,1,2,1,2,9,9,2,2,0
894,781,781,1.302655701924925,1.302655701924925,1,2,1,2,4,4,2,2,0
895,114,376,-1.1056964866406,-0.620939848608059,1,1,2,2,5,2,1,1,1
896,619,619,0.2806226913780741,0.2806226913780741,1,2,1,2,2,2,2,2,0
897,483,483,0.587566839824353,0.587566839824353,1,2,1,2,4,4,2,2,0
898,948,948,0.4810632552520725,0.4810632552520725,1,2,1,2,8,8,2,2,0
899,304,304,1.0320071466289584,1.0320071466289584,1,2,1,2,6,6,2,2,0
900,950,950,-1.18689436711983,-1.18689436711983,1,2,1,2,2,2,2,2,0
901,185,268,-0.699149916917517,0.799547759513393,1,1,2,2,1,6,1,1,1
902,42,42,-0.4828476633680125,-0.4828476633680125,1,2,1,2,5,5,2,2,0
903,190,190,1.749416305310225,1.749416305310225,1,2,1,2,9,9,2,2,0
904,447,132,1.53859922413412,1.71406914020423,1,1,2,2,1,2,1,1,1
905,209,209,-0.6164609729019845,-0.6164609729019845,1,2,1,2,2,2,2,2,0
906,918,918,2.014656409826895,2.014656409826895,1,2,1,2,6,6,2,2,0
907,820,820,0.2946699996420325,0.2946699996420325,1,2,1,2,1,1,2,2,0
908,674,674,1.046542062064065,1.046542062064065,1,2,1,2,9,9,2,2,0
909,545,545,0.367805981955492,0.367805981955492,1,2,1,2,1,1,2,2,0
910,962,49,2.16706055196438,2.42522263140195,1,1,2,2,3,1,1,1,1
911,556,556,-1.50466757457819,-1.50466757457819,1,2,1,2,0,0,2,2,0
912,873,873,0.0387837228521426,0.0387837228521426,1,2,1,2,2,2,2,2,0
913,453,453,-2.284857882054345,-2.284857882054345,1,2,1,2,5,5,2,2,0
914,285,285,0.2310716402977602,0.2310716402977602,1,2,1,2,7,7,2,2,0
915,237,237,0.6852336114567945,0.6852336114567945,1,2,1,2,5,5,2,2,0
916,968,359,0.808933768164513,1.66738365079031,1,1,2,2,8,4,1,1,1
917,449,449,-0.685854582583201,-0.685854582583201,1,2,1,2,6,6,2,2,0
918,357,357,0.30649971204597987,0.30649971204597987,1,2,1,2,9,9,2,2,0
919,379,341,1.29690793474104,1.90016687040907,1,1,2,2,9,4,1,1,1
920,582,137,-1.21968037385618,-0.509047112270159,1,1,2,2,2,9,1,1,1
921,90,90,-0.09696250597726205,-0.09696250597726205,1,2,1,2,3,3,2,2,0
922,863,863,-0.189664455129134,-0.189664455129134,1,2,1,2,7,7,2,2,0
923,818,889,0.248109253019812,0.155092771227692,1,1,2,2,3,3,1,1,1
924,930,930,0.0380932848762032,0.0380932848762032,1,2,1,2,8,8,2,2,0
925,898,898,1.75283974191463,1.75283974191463,1,2,1,2,9,9,2,2,0
926,121,121,-0.4305851435402235,-0.4305851435402235,1,2,1,2,3,3,2,2,0
927,380,380,0.5047470660904625,0.5047470660904625,1,2,1,2,3,3,2,2,0
928,518,518,2.514505147045115,2.514505147045115,1,2,1,2,2,2,2,2,0
929,558,558,0.497450443415761,0.497450443415761,1,2,1,2,9,9,2,2,0
930,886,454,-0.19408948219321,0.0222735592049948,1,1,2,2,3,7,1,1,1
931,896,896,-1.02630995319265,-1.02630995319265,1,2,1,2,9,9,2,2,0
932,637,637,-0.6531060673880671,-0.6531060673880671,1,2,1,2,8,8,2,2,0
933,252,252,0.27312141854730954,0.27312141854730954,1,2,1,2,9,9,2,2,0
934,8,8,-0.010650125373230498,-0.010650125373230498,1,2,1,2,2,2,2,2,0
935,837,837,-0.6569933799157885,-0.6569933799157885,1,2,1,2,2,2,2,2,0
936,609,609,-1.72578852964492,-1.72578852964492,1,2,1,2,3,3,2,2,0
937,625,625,-0.4231710350053695,-0.4231710350053695,1,2,1,2,9,9,2,2,0
938,480,480,0.15758075166386024,0.15758075166386024,1,2,1,2,4,4,2,2,0
939,890,890,1.58120377766734,1.58120377766734,1,2,1,2,4,4,2,2,0
940,595,85,1.44847193745255,0.410054155710079,1,1,2,2,1,8,1,1,1
941,843,843,-0.5022521614481554,-0.5022521614481554,1,2,1,2,9,9,2,2,0
942,990,990,-0.87128898071051,-0.87128898071051,1,2,1,2,6,6,2,2,0
943,652,652,-1.115661009537549,-1.115661009537549,1,2,1,2,7,7,2,2,0
944,772,772,-0.715755904908188,-0.715755904908188,1,2,1,2,8,8,2,2,0
945,903,938,0.188011321352555,-0.220497346677463,1,1,2,2,3,2,1,1,1
946,963,963,-0.26983795141308636,-0.26983795141308636,1,2,1,2,4,4,2,2,0
947,282,282,2.036913982270835,2.036913982270835,1,2,1,2,4,4,2,2,0
948,460,460,0.042631917866535654,0.042631917866535654,1,2,1,2,4,4,2,2,0
949,718,718,-0.044760066209507746,-0.044760066209507746,1,2,1,2,6,6,2,2,0
950,868,868,-0.329293863464202,-0.329293863464202,1,2,1,2,3,3,2,2,0
951,659,659,-0.776839387841948,-0.776839387841948,1,2,1,2,8,8,2,2,0
952,618,618,0.8290599202604475,0.8290599202604475,1,2,1,2,4,4,2,2,0
953,427,427,-0.354019743647758,-0.354019743647758,1,2,1,2,8,8,2,2,0
954,558,558,0.8102087639911459,0.8102087639911459,1,2,1,2,9,9,2,2,0
955,611,353,-1.43732815634599,-0.814865312046276,1,1,2,2,9,1,1,1,1
956,704,704,0.058617315659295996,0.058617315659295996,1,2,1,2,8,8,2,2,0
957,467,467,-0.1829844297402185,-0.1829844297402185,1,2,1,2,8,8,2,2,0
958,529,529,-0.5005637546098305,-0.5005637546098305,1,2,1,2,4,4,2,2,0
959,741,741,0.8079189047779345,0.8079189047779345,1,2,1,2,2,2,2,2,0
960,860,482,0.573580594441762,1.11634023665273,1,1,2,2,8,8,1,1,1
961,597,597,1.66872211242026,1.66872211242026,1,2,1,2,0,0,2,2,0
962,762,762,0.2359698166055685,0.2359698166055685,1,2,1,2,8,8,2,2,0
963,177,468,-0.0630387359560795,0.0199613040822264,1,1,2,2,2,9,1,1,1
964,223,223,0.31371565017728753,0.31371565017728753,1,2,1,2,8,8,2,2,0
965,281,281,-0.19674891255805824,-0.19674891255805824,1,2,1,2,2,2,2,2,0
966,559,559,-2.0429535789618,-2.0429535789618,1,2,1,2,2,2,2,2,0
967,956,956,-2.5500543238597952,-2.5500543238597952,1,2,1,2,5,5,2,2,0
968,797,797,0.6177551067605229,0.6177551067605229,1,2,1,2,6,6,2,2,0
969,340,239,-1.55337785884955,-0.347855044839605,1,1,2,2,7,2,1,1,1
970,931,931,0.503306862559617,0.503306862559617,1,2,1,2,4,4,2,2,0
971,465,465,-2.70268853676767,-2.70268853676767,1,2,1,2,5,5,2,2,0
972,218,920,-1.0522765699544,-1.73718546321493,1,1,2,2,2,2,1,1,1
973,828,828,-0.628610747152436,-0.628610747152436,1,2,1,2,9,9,2,2,0
974,868,821,0.220921842886938,1.29057644472286,1,1,2,2,3,9,1,1,1
975,937,937,-0.27013761815543647,-0.27013761815543647,1,2,1,2,6,6,2,2,0
976,864,864,-1.3967681246617452,-1.3967681246617452,1,2,1,2,7,7,2,2,0
977,184,184,0.5663010635378185,0.5663010635378185,1,2,1,2,6,6,2,2,0
978,405,405,0.6750406657345905,0.6750406657345905,1,2,1,2,6,6,2,2,0
979,359,359,0.8504667136764905,0.8504667136764905,1,2,1,2,4,4,2,2,0
980,774,774,2.455660901658995,2.455660901658995,1,2,1,2,9,9,2,2,0
981,283,283,-1.758479907510185,-1.758479907510185,1,2,1,2,5,5,2,2,0
982,475,475,1.3322844116281098,1.3322844116281098,1,2,1,2,6,6,2,2,0
983,71,153,-0.548967495897631,-0.738978383237017,1,1,2,2,9,9,1,1,1
984,763,763,1.534249315299335,1.534249315299335,1,2,1,2,2,2,2,2,0
985,158,158,-1.0886152547321275,-1.0886152547321275,1,2,1,2,8,8,2,2,0
986,949,949,-0.5356710680350371,-0.5356710680350371,1,2,1,2,7,7,2,2,0
987,737,887,0.309951328577181,1.02320331939795,1,1,2,2,3,1,1,1,1
988,450,450,-1.774588386745605,-1.774588386745605,1,2,1,2,0,0,2,2,0
989,728,728,1.207586541042815,1.207586541042815,1,2,1,2,3,3,2,2,0
990,0,0,0.4037792002285775,0.4037792002285775,1,2,1,2,3,3,2,2,0
991,852,852,-0.8594494504215445,-0.8594494504215445,1,2,1,2,8,8,2,2,0
992,959,959,0.184041927798226,0.184041927798226,1,2,1,2,3,3,2,2,0
993,616,616,0.763188894263504,0.763188894263504,1,2,1,2,4,4,2,2,0
994,798,798,-0.577615761294737,-0.577615761294737,1,2,1,2,5,5,2,2,0
995,78,78,0.34398925680819803,0.34398925680819803,1,2,1,2,1,1,2,2,0
996,563,854,1.10820228207062,1.53709106331448,1,1,2,2,4,2,1,1,1
997,673,673,-1.0450152372946095,-1.0450152372946095,1,2,1,2,9,9,2,2,0
998,289,289,-0.14667934137709826,-0.14667934137709826,1,2,1,2,8,8,2,2,0
